instance_index,region,drift_type
1204,GLOBAL,DRIFT_DETECTED
2463,GLOBAL,DRIFT_DETECTED
3997,GLOBAL,DRIFT_DETECTED
4512,01_TOLEDO,DRIFT_DETECTED
8648,01_TOLEDO,DRIFT_DETECTED
9485,GLOBAL,DRIFT_DETECTED
10756,02_LIMA,DRIFT_DETECTED
12521,02_LIMA,DRIFT_DETECTED
13307,GLOBAL,DRIFT_DETECTED
13972,02_LIMA,DRIFT_DETECTED
15427,GLOBAL,DRIFT_DETECTED
15579,GLOBAL,DRIFT_DETECTED
16226,01_TOLEDO,DRIFT_DETECTED
18497,GLOBAL,DRIFT_DETECTED
19286,GLOBAL,DRIFT_DETECTED
21110,GLOBAL,DRIFT_DETECTED
23592,10_RURAL,DRIFT_DETECTED
23997,10_RURAL,DRIFT_DETECTED
26690,GLOBAL,DRIFT_DETECTED
27016,03_DAYTON,DRIFT_DETECTED
27441,03_DAYTON,DRIFT_DETECTED
28214,01_TOLEDO,DRIFT_DETECTED
29052,GLOBAL,DRIFT_DETECTED
31079,GLOBAL,DRIFT_DETECTED
31137,GLOBAL,DRIFT_DETECTED
31935,GLOBAL,DRIFT_DETECTED
32308,GLOBAL,DRIFT_DETECTED
33523,GLOBAL,DRIFT_DETECTED
34263,10_RURAL,DRIFT_DETECTED
37638,GLOBAL,DRIFT_DETECTED
38803,GLOBAL,DRIFT_DETECTED
39524,GLOBAL,DRIFT_DETECTED
40182,GLOBAL,DRIFT_DETECTED
41364,GLOBAL,DRIFT_DETECTED
42219,06_CANTON,DRIFT_DETECTED
43237,07_MANSFIELD,DRIFT_DETECTED
46080,07_MANSFIELD,DRIFT_DETECTED
46239,09_YOUNGSTOWN,DRIFT_DETECTED
48376,GLOBAL,DRIFT_DETECTED
50770,GLOBAL,DRIFT_DETECTED
52552,06_CANTON,DRIFT_DETECTED
53425,GLOBAL,DRIFT_DETECTED
53886,GLOBAL,DRIFT_DETECTED
54664,GLOBAL,DRIFT_DETECTED
60595,GLOBAL,DRIFT_DETECTED
61444,04_SPRINGFIELD,DRIFT_DETECTED
63275,GLOBAL,DRIFT_DETECTED
64056,GLOBAL,DRIFT_DETECTED
68892,GLOBAL,DRIFT_DETECTED
69064,GLOBAL,DRIFT_DETECTED
69718,GLOBAL,DRIFT_DETECTED
72886,GLOBAL,DRIFT_DETECTED
74035,GLOBAL,DRIFT_DETECTED
75243,05_AKRON,DRIFT_DETECTED
77117,GLOBAL,DRIFT_DETECTED
78394,GLOBAL,DRIFT_DETECTED
81281,GLOBAL,DRIFT_DETECTED
83743,05_AKRON,DRIFT_DETECTED
84314,GLOBAL,DRIFT_DETECTED
84586,03_DAYTON,DRIFT_DETECTED
85539,GLOBAL,DRIFT_DETECTED
89907,GLOBAL,DRIFT_DETECTED
90214,GLOBAL,DRIFT_DETECTED
90312,GLOBAL,DRIFT_DETECTED
92072,GLOBAL,DRIFT_DETECTED
93815,GLOBAL,DRIFT_DETECTED
94333,04_SPRINGFIELD,DRIFT_DETECTED
94447,GLOBAL,DRIFT_DETECTED
96358,GLOBAL,DRIFT_DETECTED
96527,GLOBAL,DRIFT_DETECTED
96833,GLOBAL,DRIFT_DETECTED
97902,GLOBAL,DRIFT_DETECTED
98211,03_DAYTON,DRIFT_DETECTED
99634,GLOBAL,DRIFT_DETECTED
101419,03_DAYTON,DRIFT_DETECTED
101788,03_DAYTON,DRIFT_DETECTED
102234,GLOBAL,DRIFT_DETECTED
102975,GLOBAL,DRIFT_DETECTED
103101,GLOBAL,DRIFT_DETECTED
104452,GLOBAL,DRIFT_DETECTED
108154,GLOBAL,DRIFT_DETECTED
108814,GLOBAL,DRIFT_DETECTED
114878,10_RURAL,DRIFT_DETECTED
115849,GLOBAL,DRIFT_DETECTED
116336,09_YOUNGSTOWN,DRIFT_DETECTED
117468,GLOBAL,DRIFT_DETECTED
118639,GLOBAL,DRIFT_DETECTED
119905,GLOBAL,DRIFT_DETECTED
121345,03_DAYTON,DRIFT_DETECTED
122132,GLOBAL,DRIFT_DETECTED
